zygGene,RNA
T17A3.12,61.672
T22B2.1,229.9
T23B3.6,28.792
T24C4.2,199.33
T25G12.11,53.34
fbxb-55,30.182
fbxb-118,136.284
Y5H2B.3,348.886
Y13C8A.1,36.574
Y13C8A.2,140.644
Y22D7AL.7,71.51
Y23H5B.8,69.028
clec-123,92.094
Y25C1A.6,136.944
fpn-1.1,34.692
Y37F4.5,49.87
epg-2,149.554
Y40A1A.2,55.336
Y41D4B.14,503.754
Y42G9A.3,155.47
fbxc-51,30.16
Y47G6A.13,41.838
ugt-29,37.976
sdz-32,195.84
fbxb-104,56.924
fbxb-43,60.268
Y54E10A.17,55.206
Y54F10BM.6,48.878
hel-308,123.25
srt-23,45.048
Y57G7A.2,223.864
Y61A9LA.3,30.566
sut-2,34.944
Y65B4A.6,64.052
Y71F9AL.6,42.702
Y71F9AL.7,148.014
Y71F9B.8,47.868
Y71G10AL.1,66.246
Y71H2AM.13,67.022
Y73C8C.3,132.718
Y73C8C.8,108.836
Y76B12C.4,99.786
Y82E9BL.2,95.014
Y82E9BL.5,48.736
Y82E9BL.6,76.768
Y92H12BR.4,113.342
Y94H6A.4,43.002
srt-13,55.956
fbxb-15,135.38
fbxb-21,38.318
fbxb-20,144.274
scl-27,57.172
Y74C9A.6,65.816
C33E10.3,70.064
D1005.t1,64.122
H11E01.t1,201.314
ZK380.t2,1733.07
D1054.17,351.716
F42A10.9,54.292
lin-15B,72.52
T21C12.8,76.67
T21B4.17,36.804
Y57A10C.11,48.196
fbxb-66,50.478
F26C11.4,26.22
H37A05.4,89.234
R04A9.7,42.494
ZC239.20,288.454
ZC239.21,451.474
C07D10.6,50.762
fbxb-91,91.17
fbxb-92,92.444
fbxb-90,35.892
ZK546.18,42.04
F47G4.9,25.958
Y37A1B.18,44.16
F13H10.9,34.714
VY10G11R.2,104.082
K12D12.6,651.154
Y43F8C.22,53.76
smy-3,107.232
F59C6.15,68.496
F43A11.8,137.992
R01H2.8,25.604
F18E3.13,34.666
C17D12.8,131.036
T05E12.8,182.254
C02B4.4,99.472
D1086.19,49.152
E01G4.7,602.36
K05F6.12,121.842
F56F4.8,691.352
T07D10.8,42.81
Y59H11AR.6,35.832
ZK228.12,42.75
F55C9.14,190.45
T05E12.10,1167.894
F52C12.6,30.318
F46C3.7,30.208
W10D9.6,33.426
K02E2.11,37.828
F40G9.18,187.78
C36A4.14,96.814
C33D9.13,36.928
Y57G11C.1131,134.756
Y57G11C.1134,544.228
Y105C5B.1413,36.638
Y49E10.30,50.208
T25B2.4,36.336
K08F11.7,79.128
F39E9.16,61.316
F39E9.21,29.42
Y37E3.25,518.3
Y113G7B.27,25.7
F12F6.12,34.536
F58H1.11,41.388
F59D12.11,487.428
C07B5.9,67.668
F29G9.12,101.932
F58A3.7,53.718
Y75B7AL.7,111.904
